title,description,features,dimensions,shipping_info,reviews
adidas Men's Daily 4.0 Shoes,adidas mens Daily 4.0,"Versatile and sturdy sneakers made in part with recycled materials. Taking inspiration from skater style, these adidas sneakers support your every dynamic move. The leather upper and reinforced toe offer durable protection while the rubber outsole provides grip on any terrain. Inside, a soft lining hugs the foot in place for all-day comfort. Subtle design lines give these kicks a streamlined look that works well with just about any outfit.
This product features at least 20% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.",,,[]
adidas Women's Puremotion Adapt Sportswear Sneaker,"It's time to activate maximum comfort. With these adidas shoes, your daily grind just got easier. The Cloudfoam sockliner brings soft cushioning to make every step feel light and airy. The wide fit feels easy on your feet. Then the slip-on construction and elastic strap make hopping in and out of these a breeze. Badge of Sport graphics elevate the look. Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",,,,[]
adidas Women's Kaptir Flow Sneaker,"These women's adidas shoes are perfectly proportioned and ultra-comfy. They're great for active days when you still want a stylish edge. The mesh upper is breathable and airy, while the Bounce and Cloudfoam cushioning keep your foot wrapped in comfort. The chunky rubber outsole completes the look.",,Product Dimensions : 14 x 9 x 5 inches; 3 Pounds,,[]
adidas Men's Future Icon All Over Printed Full-Zip Hoodie,"With its liquid-like print, this adidas hoodie brings any look right up to the moment. Lightweight and fitted with pockets, this top is great for throwing on over just about everything, from workout tanks to casual tees. Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",,,,[]


